province,city,address,postalCode,longitude,latitude,price,buildingTypeId,tradeTypeId,listingDate,bedrooms,ownershiptype,daysOnMarket
Saskatchewan,Regina,1012 Rae ST,S4T2B6,-104.621075,50.462140000000005,179900.0,3,1,13/3/2018,3.0,Freehold,164
Quebec,Ville-Marie (Montréal),#712 - 888 Rue Wellington,H3C0N1,-73.55545579999999,45.49635132,274500.0,1,1,23/3/2018,1.0,Condominium/Strata,166
Alberta,Panorama Hills,401 PANORA WY NW,T3K0S1,-114.10015200000001,51.169162,479888.0,3,1,10/3/2018,3.0,Freehold,176
British Columbia,Langley,26506 28B AVENUE,V4W3B1,-122.4895717,49.0544508,759000.0,3,1,14/3/2018,4.0,Freehold,171
Alberta,Edmonton,4009 171a AV NW,T5Y3R9,-113.403650938098,53.6332173664642,545921.0,3,1,21/3/2018,2.0,Condominium/Strata,164
Alberta,Edmonton,4009 171a AV NW,T5Y3R9,-113.403650938098,53.6332173664642,545921.0,3,1,21/3/2018,3.0,Freehold,164
Ontario,Ottawa,60 SPRINGHURST AVENUE UNIT#504,K1S5V8,-75.67828100000001,45.410413,778400.0,1,1,16/3/2018,2.0,Condominium/Strata,166
New Brunswick,New Maryland,84 Daniel Drive,E3C1E3,-66.686302,45.897296999999995,189900.0,3,1,10/3/2018,3.0,Freehold,166
Alberta,Rural Lacombe County,39316 Highway 766,T0M0X0,-114.363449,52.373226,359900.0,19,1,3/3/2018,4.0,Freehold,183
Ontario,Casselman,105 ARGILE ST,K0A1M0,-75.10002851486209,45.31471918749779,329900.0,3,1,13/3/2018,2.0,Freehold,164
Manitoba,Oak Lake,216 1st AVE,R0M1P0,-100.630421,49.767437,167500.0,3,1,17/3/2018,4.0,Freehold,166
Quebec,Duvernay (Laval),#404 - 199 Boul. des Cépages,H7A0C4,-73.614058,45.64687901,269999.0,1,1,10/3/2018,2.0,Condominium/Strata,174
Alberta,Edmonton,#1 2803 JAMES MOWATT TR SW,T6W2P5,-113.53553559999999,53.404756000000006,299999.0,6,1,15/3/2018,3.0,Condominium/Strata,170
Ontario,Waterloo,#208G -275 LARCH ST,N2L3R2,-80.53132159999998,43.476789000000004,384900.0,1,1,4/3/2018,2.0,Condominium/Strata,182
Quebec,Mirabel,8635 Rue Joseph-Labrèche,J7N0T9,-74.03529882,45.6352839,199900.0,3,1,4/3/2018,2.0,Condominium/Strata,179
New Brunswick,Mount Middleton,293 Creek Road,E4G3C1,-65.559084,45.783887,94900.0,3,1,6/3/2018,2.0,Freehold,163
Ontario,Kitchener,895 Robert Ferrie Drive,N2P2T8,-80.450027,43.378659000000006,579990.0,6,1,11/3/2018,3.0,Freehold,175
Alberta,Edmonton,7035 81 ST NW,T6C2T2,-113.45171,53.506919999999994,597000.0,3,1,1/3/2018,4.0,Freehold,163
British Columbia,Vancouver,104 2028 W 11TH AVENUE,V6J2C9,-123.1508875,49.2617744,618000.0,1,1,16/3/2018,1.0,Strata,173
Ontario,London,2186 WATEROAK DRIVE,N6G5B4,-81.331459,43.018234,679900.0,3,1,3/3/2018,4.0,Freehold,164
Alberta,St. Albert,#433 78B MCKENNEY AV,T8N7K3,-113.63458,53.640319999999996,284900.0,1,1,2/3/2018,2.0,Condominium/Strata,185
Ontario,Cloyne,697 MAZINAW LAKE ACCESS NONE,K0H1K0,-77.222714,44.941918,399900.0,3,1,22/3/2018,3.0,Freehold,163
Ontario,Cloyne,697 MAZINAW LAKE ACCESS NONE,K0H1K0,-77.222714,44.941918,399900.0,3,1,22/3/2018,3.0,Freehold,163
Nova Scotia,Moshers Corner,12791 Shore Road E,B0S1P0,-65.134473,44.99884,230000.0,3,1,3/3/2018,3.0,Freehold,164
Ontario,Port Colborne,3 RENFIELD Street,L3K0A8,-79.279227,42.884337,549900.0,3,1,17/3/2018,2.0,Freehold,167
Quebec,Chomedey (Laval),#801 - 2875 Av. du Cosmodôme,H7T0E3,-73.7456968,45.56474521,539000.0,1,1,10/3/2018,2.0,Condominium/Strata,173
Ontario,Alexandria,2792 COUNTY ROAD 34 ROAD,K0C1A0,-74.661509,45.339715999999996,375000.0,3,1,3/3/2018,4.0,Freehold,183
Quebec,Saint-Sauveur,212 Ch. du Mont-St-Sauveur,J0R1R3,-74.15568787,45.88657204,435000.0,6,1,17/3/2018,3.0,Condominium/Strata,169
Alberta,Evergreen,#1248 2330 Fish Creek BV SW,T2Y0L1,-114.114999,50.922616999999995,599900.0,1,1,23/3/2018,2.0,Condominium/Strata,163
Alberta,Evergreen,#1248 2330 Fish Creek BV SW,T2Y0L1,-114.114999,50.922616999999995,599900.0,1,1,23/3/2018,2.0,Condominium/Strata,163
Saskatchewan,Saskatoon,1136 N AVE S,S7M2P8,-106.690743,52.113402,189900.0,3,1,8/3/2018,2.0,Freehold,167
Quebec,Fabreville (Laval),881 Mtée Montrougeau,H7P0A6,-73.81596923,45.5825614,228000.0,1,1,12/3/2018,2.0,Condominium/Strata,177
Saskatchewan,Fox Valley,110 Centre ST,S0N0V0,-109.483204,50.465241999999996,29900.0,3,1,13/3/2018,2.0,Freehold,174
Saskatchewan,Lanigan,22 Folley CRES,S0K2M0,-105.02541299999999,51.845672,137800.0,3,1,13/3/2018,4.0,Freehold,174
British Columbia,Powell River,3135 REGAL PLACE,V8A0R4,-124.489139,49.799727000000004,649000.0,3,1,7/3/2018,4.0,Condominium/Strata,179
Newfoundland & Labrador,Conception Bay South,33-35 Hands Road,A1X5A6,-53.080068999999995,47.468256,274900.0,3,1,24/3/2018,3.0,Freehold,162
Alberta,Edmonton,825 Reid PL NW,T6R2M4,-113.5927,53.47189,549900.0,3,1,3/3/2018,4.0,Freehold,184
British Columbia,Prince George,7783 ST PATRICK AVENUE,V2N4C7,-122.776332393273,53.8510951876639,468000.0,3,1,13/3/2018,4.0,Freehold,173
Quebec,Ahuntsic-Cartierville (Montréal),#304 - 11891 Rue Lachapelle,H4J2M2,-73.712641,45.525763,218000.0,1,1,14/3/2018,2.0,Condominium/Strata,172
Quebec,Sainte-Foy/Sillery/Cap-Rouge (Québec),#403 - 3455 Rue Vautelet,G1W4V9,-71.3089,46.753808,144900.0,1,1,16/3/2018,1.0,Condominium/Strata,171
Quebec,Ville-Marie (Montréal),#1203 - 1800 Boul. René-Lévesque O.,H3H2H2,-73.57694000000001,45.491815,2375.0,1,2,24/3/2018,2.0,Condominium/Strata,165
Alberta,Rimbey,5214 44 Street,T0C2J0,-114.225651,52.642286,259700.0,3,1,2/3/2018,3.0,Freehold,181
Ontario,Pembroke,1124 BLUE BIRD ROAD,K8A6W4,-77.06487,45.672822,249700.0,3,1,9/3/2018,3.0,Freehold,177
Ontario,Brampton,9623 MISSISSAUGA RD,L0P1K0,-79.819156,43.660004,1349900.0,3,1,17/3/2018,3.0,Freehold,169
Newfoundland & Labrador,Grand Falls-Windsor,168 Main Street,A2B1E4,-55.66771,48.947101,420000.0,18,1,21/3/2018,0.0,Freehold,165
Alberta,Edmonton,5116 39 AV NW,T6L1C3,-113.41658999999999,53.473290000000006,599000.0,3,1,9/3/2018,4.0,Freehold,177
Quebec,Mercier/Hochelaga-Maisonneuve (Montréal),#304 - 6605 Rue Hochelaga,H1N1X8,-73.53241369,45.57934047,205000.0,1,1,7/3/2018,2.0,Condominium/Strata,180
Alberta,Edmonton,#205 10915 21 AV NW,T6J6X2,-113.51065,53.4522199,172500.0,1,1,3/3/2018,4.0,Freehold,183
Alberta,Edmonton,#205 10915 21 AV NW,T6J6X2,-113.51065,53.4522199,172500.0,1,1,3/3/2018,2.0,Condominium/Strata,183
Alberta,Sylvan Lake,32 Parkland Drive,T4S1J5,-114.100724,52.298667,124900.0,17,1,14/3/2018,4.0,Freehold,164
Ontario,Port Colborne,1456 FIRELANE 1 .,L3K5V3,-79.205007,42.87415,525000.0,3,1,2/3/2018,4.0,Freehold,167
Ontario,Grimsby,305 10 Esplanade Lane,L3M0H1,-79.598629,43.210916999999995,688000.0,1,1,1/3/2018,2.0,Condominium,185
Ontario,Halton Hills,8314 SIXTH LINE,L7G4S6,-79.8608772,43.5644321,2299000.0,3,1,20/3/2018,4.0,Freehold,169
Alberta,Edmonton,23 JEFFERSON RD NW NW,T6L6M1,-113.40066999999999,53.48404,409900.0,3,1,1/3/2018,2.0,Condominium/Strata,182
Alberta,Edmonton,23 JEFFERSON RD NW NW,T6L6M1,-113.40066999999999,53.48404,409900.0,3,1,1/3/2018,4.0,Freehold,182
Quebec,Rosemont/La Petite-Patrie (Montréal),#303 - 6725 Boul. St-Laurent,H2S3C8,-73.61237119,45.53217429,197000.0,1,1,4/3/2018,1.0,Undivided Co-ownership,175
Newfoundland & Labrador,LOGY BAY,1 JENNY'S Way,A1K0M4,-52.688138,47.618913,3200.0,3,2,15/3/2018,2.0,Freehold,169
Alberta,Lethbridge,328 Stonecrest Place W,T1K6W3,-112.85946799999999,49.664999,1350000.0,3,1,9/3/2018,5.0,Freehold,163
Alberta,Edmonton,#34 4103 123 AV NW,T5W1S9,-113.4042494,53.5784301,203800.0,12,1,18/3/2018,3.0,Condominium/Strata,167
British Columbia,Armstrong,"4340 Round Prairie Road,",V0E1B4,-119.21684099999999,50.467481,999999.0,3,1,14/3/2018,3.0,Freehold,168
Quebec,Aylmer (Gatineau),#1 - 167 Rue de la Fabrique,J9J0V8,-75.864427,45.410613,179000.0,1,1,6/3/2018,2.0,Condominium/Strata,181
Newfoundland & Labrador,Conception Bay South,165 Indian Pond Road,A1X6R4,-53.081807,47.453734000000004,419900.0,3,1,24/3/2018,3.0,Freehold,162
Saskatchewan,Martensville,844 Glenview CV,S0K2T0,-106.65346000000001,52.279163,269900.0,3,1,15/3/2018,6.0,Freehold,171
Quebec,Saint-Eustache,226 Rue des Hirondelles,J7R0G7,-73.930773,45.563057,334900.0,6,1,17/3/2018,3.0,Condominium/Strata,169
British Columbia,Mayne Island,513 Dalton Dr,V0N2J2,-123.320493,48.843757000000004,699000.0,3,1,20/3/2018,3.0,Freehold,165
New Brunswick,Rusagonis,245 Sunpoke Road,E3B8Y2,-66.58553,45.78148,189900.0,3,1,2/3/2018,2.0,Freehold,174
Manitoba,Gimli,15145 DNISTER RD,R0C1B0,-96.993002,50.66953,420000.0,3,1,13/3/2018,3.0,Freehold,174
Manitoba,Oak Bluff,49 CASSELMAN CR,R0G1N0,-97.33040799999999,49.769197,539900.0,3,1,18/3/2018,3.0,Freehold,168
Saskatchewan,Regina,1434 Ellice ST,S4T5S3,-104.66856899999999,50.45619,349000.0,3,1,2/3/2018,3.0,Freehold,184
Alberta,Wetaskiwin,4607 46 AV,T9A3N4,-113.36336000000001,52.96495,332000.0,3,1,6/3/2018,5.0,Freehold,180
Ontario,Windsor,3583 SANDWICH,N9C1B6,-83.08081899999999,42.293552000000005,89900.0,19,1,8/3/2018,3.0,Freehold,176
British Columbia,Penticton,102 VANCOUVER PLACE,V2A1A7,-119.58113,49.503634000000005,675000.0,3,1,18/3/2018,3.0,Freehold,167
Ontario,Trent Lakes,10 FIRE ROUTE 184,K0L1J0,-78.329837,44.720951,995000.0,3,1,20/3/2018,3.0,Freehold,169
Alberta,Fireside,72 Fireside CR,T4C0X4,-114.48017800000001,51.154917,372307.0,3,1,3/3/2018,3.0,Freehold,179
British Columbia,Vernon,"173 Stepping Stones Crescent,",V1H1X2,-119.272275,50.343315000000004,860000.0,3,1,15/3/2018,3.0,Freehold,170
Quebec,Ville-Marie (Montréal),289 Rue de la Commune O.,H2Y2K7,-73.553731,45.501463,4995.0,1,2,22/3/2018,3.0,Condominium/Strata,167
Newfoundland & Labrador,Bay Bulls,36 Dunn Drive,A0A1C0,-52.807224,47.331216999999995,449000.0,3,1,13/3/2018,3.0,Freehold,173
Saskatchewan,Saskatoon,111 615 Stensrud RD,S7W0A1,-106.555874,52.142965000000004,349900.0,6,1,9/3/2018,3.0,Condominium/Strata,177
Ontario,Hammond,2884 GUINDON ROAD,K0A2A0,-75.226034,45.452698,624900.0,3,1,3/3/2018,6.0,Freehold,184
Alberta,Edmonton,3709 Westcliff WY SW,T6W2T1,-113.627888972244,53.4336438232337,749900.0,3,1,8/3/2018,4.0,Freehold,178
Ontario,Stevensville,407 3033 Townline Road,L0S1S1,-79.031181,42.961124,159900.0,3,1,8/3/2018,2.0,Leasehold,176
New Brunswick,Edmundston,91 Olivier Boucher Road,E3V4X1,-68.342969,47.40383,227900.0,3,1,1/3/2018,4.0,Freehold,184
Ontario,Prince Edward County,77 WILSON ROAD,K0K1G0,-77.292316,44.018046000000005,855000.0,3,1,22/3/2018,4.0,Freehold,162
British Columbia,Kelowna,"#201 446 West Avenue,",V1Y4Z2,-119.49301899999999,49.86508,485000.0,1,1,13/3/2018,1.0,Condominium/Strata,171
British Columbia,Vernon,"3301 9 Street,",V1T9V7,-119.24291299999999,50.265907,829900.0,3,1,1/3/2018,4.0,Freehold,181
Quebec,Westmount,353 Av. Clarke,H3Z2E7,-73.59258982,45.48632219,3700.0,1,2,24/3/2018,2.0,Condominium/Strata,165
Ontario,North Bay,19 BIRCH STREET,P1A1R7,-79.430277,46.258041,579000.0,3,1,20/3/2018,4.0,Freehold,165
Manitoba,Grandview,310 Rupert AVE,R0L0Y0,-100.70009399999999,51.175999,79000.0,3,1,6/3/2018,2.0,Freehold,183
New Brunswick,Shediac,192 LeBlanc AVE,E4P0J1,-64.545997,46.212191,199900.0,3,1,2/3/2018,4.0,Freehold,183
Quebec,Saint-Laurent (Montréal),#1707 - 720 Boul. Montpellier,H4L5B5,-73.669226,45.519003999999995,269000.0,1,1,5/3/2018,3.0,Condominium/Strata,169
Quebec,Villeray/Saint-Michel/Parc-Extension (Montréal),8025 Av. De Lorimier,H2E2P8,-73.61592937,45.5551878,370000.0,1,1,7/3/2018,3.0,Undivided Co-ownership,180
Alberta,Edmonton,17116 100 ST NW,T5X5H3,-113.497111,53.6333372,179670.0,6,1,20/3/2018,3.0,Condominium/Strata,163
Alberta,Edmonton,422 Oak Wood CR NW,T6P0B2,-113.3623351,53.5051025,159400.0,17,1,15/3/2018,3.0,Leasehold,174
Quebec,Rosemont/La Petite-Patrie (Montréal),#202 - 5256 Av. Bourbonnière,H1X2M9,-73.56898306,45.55635654,325000.0,1,1,6/3/2018,2.0,Condominium/Strata,180
Quebec,Granby,#43 - 1633 Rue Principale,J2J0M7,-72.81663179,45.42984085,104500.0,3,1,1/3/2018,2.0,Condominium/Strata,181
Alberta,Chaparral,94 CHAPALINA TC SE,T2X3X2,-114.043907,50.880973,529900.0,3,1,24/3/2018,4.0,Freehold,163
Quebec,Villeray/Saint-Michel/Parc-Extension (Montréal),8029A Av. De Lorimier,H2E2P8,-73.61590792,45.55517277,195000.0,1,1,7/3/2018,1.0,Undivided Co-ownership,180
Quebec,Le Sud-Ouest (Montréal),#D - 2434 Rue de Châteauguay,H3K1L1,-73.56689297,45.47878145,349000.0,1,1,1/3/2018,3.0,Condominium/Strata,175
Quebec,Rouyn-Noranda,#102 - 101 Av. St-Joseph,J9X7A3,-79.02660048,48.24131783,244900.0,1,1,1/3/2018,2.0,Condominium/Strata,181
Alberta,Edmonton,12429 17A AV SW,T6W1T8,-113.53695,53.41666,635000.0,3,1,14/3/2018,4.0,Freehold,172
Alberta,Leduc,#426 105 west haven DR,T9E0R9,-113.5912882,53.263865700000004,229762.0,1,1,21/3/2018,2.0,Condominium/Strata,168
Quebec,Chicoutimi (Saguenay),2130 Rue des Roitelets,G7H0B7,-71.054301,48.392635,219000.0,1,1,7/3/2018,2.0,Condominium/Strata,180
Quebec,Saint-Jean-sur-Richelieu,#102 - 175 Rue St-Georges,J3B2T3,-73.26119273,45.30468201,995.0,1,2,12/3/2018,2.0,Condominium/Strata,177
Quebec,Saint-Lambert,#407 - 500 Rue St-Georges,J4P3R1,-73.48803698,45.41538481,120000.0,1,1,2/3/2018,1.0,Condominium/Strata,184
Alberta,New Brighton,2163 BRIGHTONCREST CM SE,T2Z1E9,-113.944083,50.926164,528000.0,3,1,3/3/2018,3.0,Freehold,183
Alberta,Rocky Ridge,243 ROCKY VISTA CI NW,T3G5B8,-114.23611499999998,51.139041,354900.0,6,1,10/3/2018,3.0,Condominium/Strata,171
Alberta,Edmonton,1308 70 ST SW,T6X1K9,-113.44806000000001,53.42221,519000.0,3,1,12/3/2018,3.0,Freehold,174
Nova Scotia,Church Point,1748 1 Route,B0W1M0,-66.0327835083008,44.373129319960796,138000.0,3,1,7/3/2018,9.0,Freehold,176
Alberta,Rocky Mountain House,4719 63 Street,T4T1G3,-114.938456,52.371109999999994,239000.0,3,1,12/3/2018,4.0,Freehold,163
Saskatchewan,Estevan,714 Arthur AVE,S4A2B6,-102.98537900000001,49.146256,314900.0,3,1,13/3/2018,4.0,Freehold,163
Nova Scotia,Rockingham,20B Forest Hill Drive,B2W6B4,-63.6518474920654,44.676206079033,267700.0,3,1,8/3/2018,6.0,Freehold,178
Alberta,Pincher Creek,439 Victoria Crescent,T0K1W0,-113.96038,49.48518,192900.0,12,1,4/3/2018,3.0,Freehold,182
Alberta,Redwater,5016 51 AV,T0A2W0,-113.10936000000001,53.95271999999999,364900.0,3,1,4/3/2018,3.0,Freehold,170
Alberta,Red Deer County,50 36349 C & E Trail S,T4G0H1,-113.93584299999999,52.108008,699900.0,19,1,4/3/2018,5.0,Freehold,179
Nova Scotia,Denmark,2899 Hwy 326,B0K1V0,-63.1566364,45.703982200000006,297000.0,3,1,8/3/2018,3.0,Freehold,178
Alberta,Highland Park,453 33 AV NW,T2K0B5,-114.071056,51.082358,580000.0,3,1,1/3/2018,3.0,Freehold,177
Alberta,Tofield,4920 54 AV,T0B4J0,-112.66455,53.371080000000006,249900.0,3,1,1/3/2018,4.0,Freehold,178
Alberta,Hillhurst,#302 4 14 ST NW,T2N1Z4,-114.094434,51.051482,365900.0,1,1,2/3/2018,3.0,Condominium/Strata,184
Alberta,Hillhurst,#302 4 14 ST NW,T2N1Z4,-114.094434,51.051482,365900.0,1,1,2/3/2018,1.0,Condominium/Strata,184
Alberta,Edmonton,344 RICHFIELD RD NW,T6K0A8,-113.46099,53.466640000000005,359900.0,3,1,2/3/2018,3.0,Freehold,184
Alberta,Sylvan Lake,122 Herder Drive,T4S2P2,-114.076948,52.311236,409900.0,3,1,2/3/2018,5.0,Freehold,184
Alberta,Braeside,#51 10001 BROOKPARK BV SW,T2W3E3,-114.11123500000001,50.960445,314999.0,6,1,3/3/2018,3.0,Condominium/Strata,184
Alberta,Edmonton,#10 14621 121 ST NW,T5X0H2,-113.53011000000001,53.608830000000005,289600.0,6,1,3/3/2018,2.0,Freehold,183
Alberta,Edmonton,#10 14621 121 ST NW,T5X0H2,-113.53011000000001,53.608830000000005,289600.0,6,1,3/3/2018,3.0,Condominium/Strata,183
Alberta,Sylvan Lake,4395 Ryders Ridge Boulevard,T4S0J7,-114.07953899999998,52.2991,459900.0,3,1,3/3/2018,4.0,Freehold,186
Alberta,Bearspaw_Calg,7 BEARSPAW POINTE GR,T3L2P6,-114.28751000000001,51.151281,1349900.0,3,1,1/3/2018,5.0,Freehold,185
Nova Scotia,Bedford,234 86 Moirs Mill Road,B4A3Y2,-63.682420799999996,44.7117055,173900.0,1,1,3/3/2018,2.0,Condominium/Strata,186
Nova Scotia,Waterville,959 Northview Drive,B0P1V0,-64.6779843730164,45.045817901830794,179900.0,3,1,3/3/2018,3.0,Freehold,177
British Columbia,Prince George,110 3777 MASSEY DRIVE,V2N4J6,-122.79015012710899,53.8980349559583,74500.0,1,1,24/3/2018,1.0,Strata,162
Manitoba,Winnipeg,454 Victor ST,R3G1P9,-97.163274,49.892631,129900.0,3,1,9/3/2018,4.0,Freehold,175
British Columbia,Delta,7443 BARRYMORE DRIVE,V4C6X5,-122.91901599999998,49.138019,825000.0,3,1,15/3/2018,4.0,Freehold,171
British Columbia,North Vancouver,1214 EASTVIEW ROAD,V7J1L6,-123.0404371,49.323856899999996,1488000.0,3,1,17/3/2018,4.0,Freehold,172
British Columbia,Richmond,7719 ACHESON ROAD,V6Y1N1,-123.1376488,49.1603222,1190000.0,12,1,18/3/2018,4.0,Strata,163
British Columbia,Surrey,12864 99 AVENUE,V3T1E7,-122.86593390000002,49.182942,999900.0,3,1,16/3/2018,4.0,Freehold,165
Saskatchewan,Regina,1116 Montague ST,S4T3H7,-104.630442,50.460945,110000.0,3,1,8/3/2018,2.0,Freehold,181
British Columbia,Delta,11278 72A AVENUE,V4C1A3,-122.910629,49.134513299999995,898888.0,3,1,8/3/2018,3.0,Freehold,181
Saskatchewan,Saskatoon,408 227 Pinehouse DR,S7K6N9,-106.623205,52.167488,269900.0,1,1,1/3/2018,1.0,Condominium/Strata,162
British Columbia,Richmond,12340 MCNEELY DRIVE,V6V2S1,-123.0877875,49.1794698,1588000.0,3,1,3/3/2018,5.0,Freehold,186
British Columbia,Richmond,5166 LACKNER CRESCENT,V7E6R1,-123.16545490000001,49.147112899999996,1798000.0,3,1,8/3/2018,5.0,Freehold,181
British Columbia,Surrey,7978 165A STREET,V4N0J2,-122.7630248,49.147326,1039000.0,3,1,3/3/2018,5.0,Freehold,171
Ontario,Bancroft,420 SNOW ROAD,K0L1C0,-77.836199,45.071534,450000.0,3,1,7/3/2018,4.0,Freehold,178
Ontario,Wasaga Beach,5 DEANNA DRIVE,L9Z1J5,-80.064024,44.468464000000004,819900.0,3,1,8/3/2018,4.0,Freehold,167
Ontario,Ottawa,123 SOLERA CIRCLE,K1T0C6,-75.63903499999999,45.358672,709000.0,3,1,3/3/2018,4.0,Freehold,183
Ontario,Ottawa,262 MCEACHERN CRESCENT,K1E3K6,-75.505365,45.474996999999995,350000.0,3,1,7/3/2018,3.0,Freehold,163
Ontario,Brantford,72 SINDEN RD,N3T0P5,-80.3009552,43.1171809,629990.0,3,1,14/3/2018,4.0,Freehold,175
British Columbia,Richmond,901 7535 ALDERBRIDGE WAY,V6X4L2,-123.14477579999999,49.1729875,718000.0,1,1,4/3/2018,2.0,Strata,185
Alberta,Banff,301-436 BANFF AVENUE,T1L1A1,-115.565013,51.181979,489000.0,19,1,2/3/2018,2.0,Condominium,162
British Columbia,Abbotsford,2275 MARTENS STREET,V2T6M7,-122.35162240000001,49.0434872,1045000.0,3,1,1/3/2018,6.0,Freehold,185
Quebec,Brossard,#1 - 9045 Rue Le Corbusier,J4Y0A1,-73.45046139,45.43345781,690.0,1,2,8/3/2018,2.0,Condominium/Strata,181
Quebec,Villeray/Saint-Michel/Parc-Extension (Montréal),8027 Av. De Lorimier,H2E2P8,-73.6160152,45.55520282,190000.0,1,1,7/3/2018,1.0,Undivided Co-ownership,180
Alberta,Leduc,27 Kingdom PL,T9E0J2,-113.58933,53.26262,999000.0,3,1,2/3/2018,4.0,Freehold,163
Nova Scotia,North Range,795 North Range Cross Road,B0V1A0,-65.8436545360528,44.5108890746222,44900.0,3,1,14/3/2018,2.0,Freehold,175
Alberta,Edmonton,#31 13808 155 ave NW,T6V1T8,-113.560177,53.6163083,409999.0,6,1,8/3/2018,3.0,Condominium/Strata,181
Saskatchewan,Regina,107 4721 McTavish ST,S4S6H2,-104.632148,50.404646,475800.0,1,1,27/3/2018,2.0,Condominium/Strata,162
Prince Edward Island,Charlottetown,594&596 Queen St.,C1A9C7,-63.1438752,46.2556004,399000.0,12,1,27/3/2018,8.0,Freehold,162
British Columbia,Chilliwack,117 6026 LINDEMAN STREET,V2R0W1,-121.91194340000001,49.112607000000004,545000.0,6,1,3/3/2018,3.0,Strata,168
British Columbia,Vancouver,4527 CAMBIE STREET,V5Z0G6,-123.116445,49.2448444,1999000.0,6,1,3/3/2018,3.0,Strata,186
British Columbia,Vancouver,101 6168 EAST BOULEVARD,V6M3V6,-123.154657,49.23028,1999900.0,6,1,2/3/2018,2.0,Strata,187
Ontario,Pickering,1823 FAIRPORT RD,L1V1T2,-79.1095578,43.8305865,1688888.0,3,1,17/3/2018,5.0,Freehold,167
Ontario,Pickering,1823 FAIRPORT RD,L1V1T2,-79.1095578,43.8305865,1688888.0,3,1,17/3/2018,3.0,Freehold,167
Alberta,Killarney/Glengarry,3016 27 ST SW,T3E2G7,-114.12658200000001,51.027573,1099500.0,12,1,14/3/2018,4.0,Freehold,172
Alberta,Renfrew,#208 707 4 ST NE,T2E3S7,-114.05331000000001,51.058158,281000.0,1,1,17/3/2018,1.0,Condominium/Strata,162
Ontario,Whitchurch-Stouffville,22 VANVALLEY DR,L4A2E1,-79.3924485,43.9989057,2299000.0,3,1,13/3/2018,5.0,Freehold,173
